to_keep	game	platforms	editor	developer	gender	Source explication	Source nom	Source lien	Autre source	Autre source	type	Multijoueur	Date de sortie
1	13 Sentinels: Aegis RIM	Vita, PS4	Atlus	Vanillaware	Multi (choix)	Parmi les 13 Sentinelles jouables, certaines sont masculines et d'autres féminines.	Site officiel d'Atlus	https://atlus.com/13sentinels/	http://www.jeuxvideo.com/videos/983674/13-sentinels-aegis-rim-un-trailer-pour-le-prologue-en-approche.htm	https://twinfinite.net/2019/03/vanillawares-13-sentinels-aegis-rim-for-ps4-gets-new-clips-showing-characters-in-motion/	aventure / narratif	no	2019
0 (DLC/update)	2064: Read Only Memories	PS4, Xbox One, PC	MidBoss LLC	MidBoss LLC									
1	A Duel Hand Disaster: Trackher	PS4, Xbox One, PC	Ask An Enemy Studios	Ask An Enemy Studios	N/a	Le joueur contrôle de petits vaisseaux.	A Duel Hand Disaster: Trackher - Playstation Announcement | PS4 (Youtube)	https://www.youtube.com/watch?v=RJfUGZTvaF8	https://www.youtube.com/watch?v=yWHsmL3THzI	https://www.youtube.com/watch?v=YTll0Swb1Ig	action / Shoot'em Up	no	29/08/2017
0 (2016)	Absolver	Xbox One, PS4, PC	Devolver Digital	Slocalap	Multi (choix + personnalisation)	Le joueur peut choisir le genre de l'Aspirant qu'il incarne.	Absolver - Character Customization (Youtube)	https://www.youtube.com/watch?v=V-t-NVdIZ4w	https://www.youtube.com/watch?v=6H0QrUVVkLc	https://store.steampowered.com/app/473690/Absolver/?l=french	action / rpg / combat / exploration / Monde ouvert / Aventure / MMORPG / Stratégie	yes	29/08/2017
0 (offsite)	Aegis Defenders *	PC											
0 (offsite)	Aerea *	PS4, Xbox One, PC											
0 (offsite)	Aftercharge *	Xbox One, PC											
0 (2016)	Agents of Mayhem	PS4, Xbox One, PC	Deep Silver Volition	Deep Silver Volition	Multi (choix)	Des agents masculins et féminins sont disponibles.	Xbox mag	http://xbox-mag.net/2017/05/09/agents-of-mayhem-devoile-ses-personnages-en-video/	https://jeu.video/action-aventure/agents-of-mayhem/debloquer-agents-vehicules	http://www.deepsilver.com/fr/games/agents-of-mayhem/	action / monde ouvert / comédie / troisième personne / humour / tir / aventure / science-fiction 	yes	15/08/2017
0 (offsite)	A Hat in Time *	PC											
0 (offsite)	Anamorphine *	PC											
1	A Plague Tale: Innocence	Xbox One, PS4, PC	Focus Home Interactive	Asobo Studio	F	"Coming to PC, PlayStation 4, and Xbox One in 2019, “A Plague Tale: Innocence” is an action-adventure game set in 14th century France, a dark time for protagonists Amicia and her little brother Hugo. They lost their parents to the ruthless Inquisition, forcing them to survive on their own. To top it off, five-year-old Hugo is suffering from a strange illness, and ravenous rodents are spreading throughout the country, eager to devour anything that’s in their way.  As the teenage Amicia, you can’t fight or destroy them. You either avoid the rats altogether or redirect their hunger elsewhere. "	Variety.com	https://variety.com/2018/gaming/features/a-plague-tale-innocence-interview-1202850698/	https://www.jeuxactu.com/a-plague-tale-innocence-une-nouvelle-video-remplie-de-rats-117103.htm	https://www.jeuxactu.com/a-plague-tale-innocence-voici-le-story-trailer-avec-les-voix-anglaises-117379.htm	Action / aventure / Infiltration	no	14/05/2019
1	A Way Out	PS4, Xbox One, PC	Electronic Arts	Hazelight Studios	M	Dans ce jeu, on incarne deux prisonniers, Leo et Vincent.	Site officiel d'Electronic Arts	https://www.ea.com/fr-fr/games/a-way-out	https://www.gamekult.com/jeux/a-way-out-3050876005/test.html	https://www.microsoft.com/fr-fr/p/a-way-out/bwvbncmf22zk?activetab=pivot:overviewtab	action / aventure	yes	23/03/2018
1	Anthem	PC, Xbox One, PS4	Electronic Arts	BioWare	Multi	"Anthem’s characters are voiced, and you’ll get the choice of a male or female character at the beginning of the game."	PCGamesN	https://www.pcgamesn.com/anthem/anthem-voice-actor	https://www.youtube.com/watch?v=PDQN2ww79Ak	https://www.youtube.com/watch?v=73sBiTAPwSA	Action / rpg	yes	22/02/2019
0 (remake)	Age of Empires Definitive Edition	PC	Xbox Game Studios	Forgotten Empires							Stratégie	yes	19/02/2018
1	Arms †	Switch	Nintendo	Nintendo EPD	Multi (choix + personnalisation)	Quinze combattants sont disponibles, de genre différents. Ils peuvent également être personnalisés.	Nintendo (site officiel)	https://www.nintendo.fr/Jeux/Nintendo-Switch/ARMS-1173200.html	https://www.polygon.com/arms-guide/2017/6/16/15765392/arms-nintendo-switch-best-character	https://www.giantbomb.com/arms/3030-57686/characters/	Combat	yes	16/06/2017
1	Assassin's Creed Origins	PS4, Xbox One, PC	Ubisoft	Ubisoft Montréal	M (principal)	Le personnage principal est masculin, mais d'autres personnages sont jouables à certains moments du jeu.	PC Games	https://www.pcgamesn.com/assassins-creed-origins/assassins-creed-origins-abstergo-characters-multiplayer	https://mcetv.fr/mon-mag-culture/mon-mag-gamers-time/assassins-creed-origins-bayek-1608/	https://motherboard.vice.com/fr/article/8xvkvv/assassins-creed-origins-est-dabord-une-histoire-damour	Histoire / Action / RPG / Exploration / troisième personne / aventure / infiltration / action / monde ouvert	no	27/10/2017
0 (2015)	Ashen (personnalisation)	PC, Xbox One	A44	A44	Multi	Personnalisation très poussée du personnage	ASHEN - Character Creation / Cutstomization - Male and Female (Youtube)	https://www.youtube.com/watch?v=9jhsSBEhe18	https://www.youtube.com/watch?v=9w-UiWs8BjM	https://twitter.com/A44games/status/1046528247335346176	action / rpg / Aventure / troisième personne / monde ouvert	yes	07/12/2018
1	Asura	PC	Ogre Head Studio, Coconut Island Studio	Ogre Head Studio	M	Le joueur incarne un démon d'apparence masculine.	Site officiel du jeu	https://www.asurathegame.com/	http://ogrehead.com/blog/press/sheet.php?p=Asura	https://store.steampowered.com/app/524640/Asura_Vengeance_Expansion/?l=french&cc=uk	Action / Hack 'n' slash / Rogue-like / Mythologie	no	14/04/2017
1	Aven Colony	PS4, Xbox One, PC	Team17	Mothership Entertainment	N/a	Le joueur n'incarne pas de personnage particulier.	Aven Colony	http://avencolony.com/author/paul/	https://www.youtube.com/watch?v=zX6wBxJUWlQ	https://avencolony.gamepedia.com/Aven_Expedition	gestion / stratégie / city-builder	no	25/07/2017
1	Away: Journey to the Unexpected *	Xbox One, PS4, PC, Wii U, Switch	Playdius Entertainment	Aurélien Regard, Jim Gennisson, Aurelien Regard Games	M	Le joueur incarne un petit garçon.	Gameblog	http://www.gameblog.fr/tests/3293-away-journey-to-the-unexpected-pc-switch-xb1-ps4	https://www.nintendo.fr/Jeux/Jeux-a-telecharger-sur-Nintendo-Switch/Away-Journey-to-the-Unexpected-1254675.html	https://www.indiemag.fr/news/away-journey-unexpected-fps-rogue-prepare-sortie-debut-2019	aventure / action / Rogue-like	no	13/02/2019
1	Aztez	PS4, Xbox One, Wii U, PS Vita, PC	Team Colorblind	Team Colorblind	M	Le joueur incarne des guerriers stylisés, genrés au masculin.	Steam	https://store.steampowered.com/app/244750/Aztez/	https://www.indiedb.com/games/aztez/tutorials/constructing-characters-aztez-style	https://aztez.com/	Action / Stratégie / Beat them all / troisième personne	no	01/08/2017
0 (extension)	Battlefield 1: In the Name of the Tsar (Expansion)	PS4, Xbox One, PC											
0 (offsite)	Battle Chef Brigade *	PS4, Switch, Wii U, Xbox One, PC											
1	Battlerite	Xbox One	Stunlock Studios	Stunlock Studios	Multi (choix)	Le joueur peut incarner des personnages féminins ou masculins.	Battlerite: Choose Your Champion (Youtube)	https://www.youtube.com/watch?v=5cJrzCz6tXU	https://battlerite.gamepedia.com/Champions	https://www.breakflip.com/fr/battlerite/guide/battlerite-guides-des-champions-2083	Action / Tir / Combat / Stratégie / Hack 'n' slash / RPG 	yes	07/11/2017
1	Battlesloths 2025: The Great Pizza Wars	Mac, PC	Rooster Teeth Productions	Invisible Collective	N/a	Les personnages que le joueur peut incarner ne sont pas humains.	BattleSloths 2025 The Great Pizza Wars Episode 1 (youtube)	https://www.youtube.com/watch?v=C1uDc7en5LE	https://www.youtube.com/watch?v=dipHNUG0Vxs	https://www.youtube.com/watch?v=BsWFowjyE6s	Action / Humour	yes	06/06/2017
1	BattleTech	PC	Paradox Interactive	Harebrained Schemes	Multi (choix + personnalisation)	Le joueur peut choisir d'incarner un personnage masculin, féminin ou neutre.	Bleeding Cool	https://www.bleedingcool.com/2018/04/27/battletech-angers-gamers-by-providing-a-gender-neutral-option/	http://jstationx.com/2019/03/26/vampire-the-masquerade-bloodlines-2-will-have-female-non-binary-protagonist-options/	https://www.gamekult.com/jeux/battletech-2015-3050550255/test.html	robots / Stratégie / tactique / Science-fiction / Aventure / Action / rpg / futuriste / gestion / espace 	yes	24/04/2018
0 (offsite)	BestLuck *	Switch, Wii U, PC											
1	Blade Strangers	Switch	Nicalis, Pikii	Studio Saizensen	Multi (choix)	Plusieurs personnages, masculins ou féminins, sont disponibles.	La Garde c'est arrière - Test de BLADE STRANGERS [EP#56] (Youtube)	https://www.youtube.com/watch?v=8D_O_ky-7aE	https://www.giantbomb.com/blade-strangers/3030-59921/characters/	https://www.gamekult.com/actualite/blade-strangers-la-baston-des-jeux-inconnus-ou-presque-3050796147.html	action / combat	yes	28/08/2018
1	Black Desert Online	PC, Xbox One	Kakao Games	Pearl Abyss	Multi (choix)	Le joueur peut incarner des personnages de différents genres, et les personnaliser.	Black Desert	https://www.blackdesertonline.com/	https://www.gamekult.com/jeux/black-desert-online-3050063766.html	https://www.youtube.com/watch?v=8eVhqGh0MqE	MMORPG / action / RPG	yes	2015 (en Corée)
1	Blasters of the Universe	PC	The Secret Location	The Secret Location	Gender-ambiguous	On peut personnaliser son arme mais pas d'information sur le personnage incarné.	Blasters of the Universe | Build Your Weapon | PS VR (Youtube)	https://www.youtube.com/watch?v=yITKSTbl4Lc	https://www.blastersoftheuniverse.com/	https://www.vrplayer.fr/playstation-vr-blasters-of-the-universe-test/	action / arcade / fps	no	14/07/2016
1	Bravo Team	PS4	Sony Interactive Entertainment	Supermassive Games	Multi (choix + personnalisation)	Le joueur peut choisir d'incarner une femme ou un homme.	Sagamer	https://sagamer.co.za/review-bravo-team-psvr	http://www.sonyvores.fr/test-bravo-team-ps4-psvr/	http://iris.theaureview.com/games-review-bravo-team-psvr-2018-shooting-for-the-bargain-bin/	FPS	no	06/03/2018
1	Brawlout	PS4, Xbox One, PC	Angry Mob Games	Angry Mob Games	Multi (choix)	Les personnages sont non-humains, mais certains "associés" au genre féminin ou masculin.	Jeuxvideo.com	http://www.jeuxvideo.com/videos/886805/brawlout-presente-ses-nouveaux-personnages.htm	https://brawlout.fandom.com/wiki/Brawlout_Wiki	https://www.geek.com/games/brawlout-is-almost-super-smash-bros-for-nintendo-switch-1726243/	Combat / Action / Plateformes	yes	19/12/2017
1	Call of Cthulhu	PS4, Xbox One, PC	Cyanide Studio	Focus Home Interactive	M	Le joueur incarne Edward Pierce.	Site officiel de Cthulhu	http://www.callofcthulhu-game.com/	https://www.lesnumeriques.com/jeux-video/call-of-cthulhu-p49471/test.html	http://www.gameblog.fr/tests/3208-call-of-cthulhu-pc	Survie / horreur / RPG / aventure / narration / détective / FPS 	no	30/10/2018
1	Call of Duty: WWII	PS4, Xbox One, PC	Activision	Sledgehammer Games	M (personnage principal)	Le personnage principal est Ronald « Red » Daniels, même si on peut incarner une résistante lors d'une mission.	Le Point	https://www.lepoint.fr/pop-culture/jeux-videos/call-of-duty-world-war-ii-la-revolution-n-a-pas-eu-lieu-09-11-2017-2171015_2943.php	http://www.jeuxvideo.com/news/650303/call-of-duty-wwii-detaille-ses-personnages-avec-un-arg.htm	https://www.youtube.com/watch?v=4gzELsS5JUo	Action / FPS / tir	yes	03/11/2017
0 (offsite)	Chess Ultra *	PS4, Xbox One, PC, VR											
0 (no info)	Circle of Saviors	PC	Five for Co	Five for Co	Gender-ambiguous	Jeu en VR	Cos VR	http://www.cos-vr.com/sp/05_f.html	https://www.youtube.com/watch?v=bgrbEdWM6Qo	https://www.youtube.com/watch?v=zsZ20bv-50s	action / vr	unknown	
1	Code Vein	Xbox One, PS4	Bandai Namco Entertainment	BANDAI NAMCO Studio	Multi (choix + personnalisation)	Le joueur peut incarner un personnage féminin ou masculin. 	CODE VEIN - Character Creation & Customization Gameplay (Youtube)	https://www.youtube.com/watch?v=2P0qSD0jPfo	https://www.youtube.com/watch?v=n4V0qfd6j-0	https://www.youtube.com/watch?v=OSoNiTEXp2E	action / RPG / apocalyptique	yes	2019
0 (no info)	Coma Remembered	TBA		Serenity Forge	Gender-ambiguous					https://www.gamerzunite.com/coma-remembered-showcased-at-indie-e3-press-conference#.XMAzqZMzbOQ			
1	Community INC	PC	tinyBuild Games	T4 Interactive	N/a	Il s'agit d'un jeu de gestion où l'on incarne pas un personnage en particulier.		https://www.indiemag.fr/jeux/community-inc	https://www.youtube.com/watch?v=cmGFNTXEo6c	https://www.youtube.com/watch?v=8qUfGjXvndk	simulation / stratégie / construction / survie	no	03/08/2017
0 (2016)	Conan Exiles	Xbox One, PC	Funcom	Funcom	Multi (choix + personnalisation)	On peut choisir le genre du personnage incarné et le personnaliser.	CONAN EXILES - FEMALE CHARACTER CREATION - NO COMMENTARY (Youtube)	https://www.youtube.com/watch?v=ynBBYC1c3X0	https://www.youtube.com/watch?v=y2Ger_NQ7Tg	https://www.youtube.com/watch?v=tiHSOCye59Q	Survie / monde ouvert / construction / rpg / action / exploration / gore / Fantasy	yes	08/05/2018
1	Conquerors Blade	PC, PS4	My.com, Booming Games	Booming Games	Multi (choix + personnalisation)	Le joueur peut choisir le genre de son personnage et personnaliser celui-ci.	Conquerors Blade (site officiel)	https://cb.my.com/en/news/48-pre-ordering-conqueror-s-blade	https://www.youtube.com/watch?v=zT1qZFyGVbs	https://www.youtube.com/watch?v=Lf3KEHLOpS4	Action / Stratégie / RPG / Monde ouvert / MMORPG / Médiéval	yes	2019 (bêta)
1	Crackdown 3	Xbox One, PC	Microsoft Studios	Reagent Games	Multi	Plusieurs personnages féminins sont proposés.	Crackdown 3: Single-Player Gameplay Footage & Details (4K) - IGN First (Youtube)	https://www.youtube.com/watch?time_continue=131&v=4JXB9hioK1M	https://jstationx.com/2018/12/21/crackdown-3-female-protagonist-options/	https://www.youtube.com/watch?v=Z1SINFVPKNw	action / aventure / Tir en vue objective	yes	15/02/2019
0 (remake)	Crash Bandicoot N.Sane Trilogy	PS4						https://www.gamekult.com/jeux/crash-bandicoot-n-sane-trilogy-3050817603/test.html					
1	Culdcept Revolt	3DS	NIS America	Omiya soft	M	Le joueur incarne Allen, un "cepter", être contrôlant des cartes magiques.	NIS America	https://nisamerica.com/games/culdcept-revolt/story_character/index.html	http://www.jeuxvideo.com/jeux/3ds/jeu-514339/	http://www.jeuxvideo.com/test/730644/culdcept-revolt-cartes-gagnantes-sur-3ds.htm	Jeu de cartes	yes	07/07/2016 (au japon)
0 (2015)	Cuphead	Xbox One, PC	Studio MDHR	Studio MDHR	M	Jusqu'à la sortie d'un DLC à l'E3 2018, qui propose un personnage féminin, le joueur n'avait le choix qu'entre deux personnages masculins.	Nintendo	https://www.nintendo.fr/Jeux/Jeux-a-telecharger-sur-Nintendo-Switch/Cuphead-1532319.html	https://thecuphead.fandom.com/wiki/Cuphead_(character)	https://cuphead.fandom.com/fr/wiki/Mugman	action/ plateformes /  Dessin animé / Rétro / Shoot 'Em Up 	yes	29/09/2017
0 (offsite)	Dandara *	Wii U, Switch											
1	Danganronpa V3: Killing Harmony	PS4, Vita, PC	Spike Chunsoft	Spike Chunsoft	F	Le joueur incarne, pour la première fois, un personnage féminin.	Gamer Actor	https://www.gamereactor.fr/danganronpa-v3-killing-harmony-test/	https://store.steampowered.com/app/567640/Danganronpa_V3_Killing_Harmony/	http://www.jeuxvideo.com/test/719073/danganronpa-v3-killing-harmony-aventure-meurtriere-et-justice-expeditive-en-milieu-scolaire.htm	histoire / détective / mystère / aventure / horreur / comédie / humour	no	12/01/2017
1	Dark and Light	Xbox One	Snail Games USA	Snail Games USA	Multi (choix + personnalisation)	Le joueur peut choisir le genre de son personnage et le personnaliser de façon très poussée.	Dark and Light - Character Creation, Crafting, and Magic! (Dark and Light Gameplay Part 1) (Youtube)	https://www.youtube.com/watch?v=Dl2dLt7-O4E	https://darkandlight.gamepedia.com/Customization	https://www.youtube.com/watch?v=ug5dyqEWUy4	Monde ouvert / Survie / RPG / Fantasy / aventure / MMORPG / action / médiéval	yes	20/07/2017
1	The Darwin Project	PC, Xbox One	Scavengers Studio	Scavengers Studio	Multi (choix + personnalisation)	Le joueur peut incarner un personnage féminin ou masculin.	Site officiel de Scavengers Studio	http://www.scavengers.ca/	https://twitter.com/DarwinProject/status/1024054269572521984	https://darwinproject.fandom.com/wiki/Character_Customization	Battle Royale / Survie / Action / Aventure / Coopération / tir / 3e personne	yes	09/03/2018
0 (compilation, no info)	Data East Classics	?											
0 (2016)	Days Gone	PS4	SIEE	Bend Studio	M	"Set in the beautiful, volcanic scarred high-desert of the Pacific Northwest, Days Gone is an open-world action-adventure game where you play as Deacon St. John, a Drifter and bounty hunter who would rather risk the dangers of the broken road than live in one of the “safe” wilderness encampments. "	Bend Studio	https://bendstudio.com/games/days-gone/	https://gamerant.com/days-gone-protagonist-no-custom-appearance/	https://daysgone.fandom.com/wiki/Days_Gone_Wiki	Action / aventure / survival horror	no	26/04/2019
0 (2016)	Death Stranding	PS4	Sony Interactive Entertainment	Kojima Productions	M	Le joueur incarne Sam Bridges, un homme "qui brave un monde mortel et mystérieux où la mort se tapit dans tous les recoins. Transportez les vestiges de l'avenir et embarquez dans un voyage pour reconstruire un monde brisé, petit à petit".	Death Stranding - E3 2018 4K Trailer | PS4	https://www.youtube.com/watch?v=rP3UngLFou4	https://www.senscritique.com/jeuvideo/Death_Stranding/21588200	http://jstationx.com/2018/06/12/death-stranding-female-characters-trailer-e3-2018/	Action / exploration	yes	2019
1	Destiny 2	PS4, Xbox One, PC	Activision et par Sony Interactive Entertainment .	Bungie Studios 	Multi (choix + personnalisation)	Le joueur peut choisir le genre de son personnage et le personnaliser.	Destiny 2 - Human Female Character Creation (Youtube)	https://www.youtube.com/watch?v=yF_-RottErM	https://www.youtube.com/watch?v=1H72Q2xi4ug	https://twinfinite.net/2017/09/destiny-2-change-gender-how-to/	tir / action / fps	yes	06/09/2017
0 (2016)	Detroit: Become Human	PS4	Sony Interactive Entertainment	Quantic Dream	Multi (à tour de rôle)	Le joueur peut incarner trois personnages, dont un féminin.	Epic Games	https://www.epicgames.com/store/fr/product/detroit-become-human/home	https://www.lepoint.fr/pop-culture/jeux-videos/detroit-become-human-et-si-vous-etiez-un-robot-25-05-2018-2221253_2943.php	https://jeux.ca/jeux-video/critique/critique-detroit-become-human/	futur	no	25/05/2018
0 (offsite)	Distant *	PC, iOS											
0 (2016)	Dishonored 2	PS4, Xbox One, PC	Bethesda Softworks	Arkane Studios	Multi (choix)	Le joueur doit choisir entre Emily et Corvo.	PC Gamer	https://www.pcgamer.com/how-to-pick-between-emily-and-corvo-in-dishonored-2/	https://www.youtube.com/watch?v=1TV67I2SJmI	https://www.youtube.com/watch?v=a4AByn964-M	Infiltration / action / 1ère personne / aventure / monde ouvert / exploration / dystopique / surnaturel	yes	11/11/2016
1	Dishonored 2: Death of the Outsider	PS4, Xbox One, PC	Bethesda Softworks	Arkane Studios	F	Le joueur incarne Billie.	JeuxVideo.com	http://www.jeuxvideo.com/test/712325/dishonored-la-mort-de-l-outsider-la-maitrise-d-un-dernier-contrat.htm	https://www.youtube.com/watch?v=EP4SAOFgg3c	https://www.actugaming.net/test-dishonored-la-mort-de-loutsider-une-conclusion-plus-que-satisfaisante-112053/	Infiltration / action / 1ère personne / violence / magie / aventure / monde ouvert / fps	no	15/09/2017
1	Dissidia Final Fantasy NT	PS4	Team Ninja	Square Enix	Multi (choix)	Des personnages masculins et feminins sont disponibles.	JeuxVideo.com	http://www.jeuxvideo.com/jeux/ps4/jeu-422467/#details	https://www.youtube.com/watch?v=zQAmu49GSmw	http://www.jeuxvideo.com/test/788621/dissidia-final-fantasy-nt-le-jeu-de-combat-egare.htm	Action / combat / fantasy	yes	26/11/2015
1	Doom VFR	PC	Bethesda Softworks	id Software	Gender-ambiguous	Jeu en VR à la première personne.	TEST DE DOOM VFR - L'enfer est bien là ! (Youtube)	https://www.youtube.com/watch?v=8VVFsI--5LE	http://www.gameblog.fr/tests/2917-doom-vfr-ps-vr	http://www.jeuxvideo.com/test/762143/doom-vfr-une-impression-de-deja-vu-dans-l-enfer-de-la-vr.htm	Violence / action / gore / fps / tir / horreur / science-fiction	no	01/12/2017
1	Dragon Ball FighterZ †	PC, PS4, Xbox One, Switch	Bandai Namco Entertainment	Arc System Works	Multi (choix)	Des personnages masculins et feminins sont disponibles.	FEMALE ZAMASU GAMEPLAY - Dragon Ball FighterZ Female Zamasu & ALL DRAMATIC FINISHES GAMEPLAY (Youtube-	https://www.youtube.com/watch?v=fHZrn66iVME	https://dragonball.fandom.com/wiki/Dragon_Ball_FighterZ	https://www.youtube.com/watch?v=XdAs0qzuC0g	combat / action / arcade / narratif / beat 'em up	yes	26/01/2018
1	Dunk Lords	Xbox One	Story Fort	Story Fort	Multi (choix)	Le joueur a le choix entre seize personnages, dont la plupart sont d'apparence masculine même si certains sont féminins.	Site officiel de Story Fort	https://www.storyfort.com/	http://indiemegabooth.com/project/dunk-lords/	https://www.youtube.com/watch?v=2B-iY4W4iZA	two-on-two / basketball / beat 'em up /sport	yes	2019
1	Etrian Odyssey V: Beyond The Myth	3DS	Atlus	Atlus	Multi (choix + personnalisation)	Le joueur a le choix entre plusieurs classes de personnages. De nombreux personnages féminins sont disponibles et personnalisables.	Gamekult	https://www.gamekult.com/jeux/etrian-odyssey-v-3050371911/video-3050669725.html	https://www.youtube.com/watch?v=qAsUMBKHm-s	https://www.nintendo.fr/Jeux/Nintendo-3DS/Etrian-Odyssey-V-Beyond-the-Myth-1275926.html#Vue_d_ensemble	RPG	no	04/08/2016 (Japon)
1	Everybody's Golf	PS4	Sony Interactive Entertainment	Clap Hanz, SIE Japan Studio	Multi (choix + personnalisation)	Le joueur peut choisir le genre de son personnage, et personnaliser celui-ci.	Gameblog	http://www.gameblog.fr/tests/2827-everybody-s-golf-ps4	https://www.youtube.com/watch?v=tn6ARSTp4wk	http://www.jeuxvideo.com/jeux/ps4/jeu-537167/#details	sport / golf	yes	30/08/2017 (Europe)
1	Extinction	PS4, Xbox One, PC	Maximum Games	Iron Galaxy	M	Le joueur incarne Avil, un personnage masculin.	Site officiel d'Extinction	https://www.extinction.com/	https://www.actugaming.net/test-extinction-139958/	https://store.steampowered.com/app/570710/Extinction/	Heroic Fantasy / action / aventure / violence / monde ouvert	no	10/04/2018
1	Fable Fortune	Xbox One, PC	Mediatonic	 Mediatonic, Flaming Fowl Studios	n/a	Jeu de cartes, pas de personnage incarné en particulier.	JeuxVideo.com	http://www.jeuxvideo.com/test/813565/fable-fortune-un-jeu-de-cartes-convenu-qui-se-repose-un-peu-trop-sur-son-univers.htm	https://www.microsoft.com/fr-fr/p/fable-fortune/9mswwjwrf4wc?activetab=pivot:overviewtab	https://www.gamekult.com/jeux/fable-fortune-3050704995.html	cartes	yes	22/02/2018
0 (nouveau support)	Fallout 4 VR	HTC Vive											
1	Far Cry 5	PC, PS4, Xbox One	Ubisoft	Ubisoft	Multi (choix + personnalisation)	Des personnages masculins et feminins sont disponibles, et ils sont également personnalisables.	Far Cry 5 - All Character Customizations (Male & Female) All Faces/Hair/Clothes (Youtube)	https://www.youtube.com/watch?v=rhQ7Pn-2bS8	https://www.youtube.com/watch?v=7z3M6uSxB6M	https://www.gamekult.com/jeux/far-cry-5-3050875843.html	action / fps / infiltration	yes	27/03/2018
0 (2016)	Fate/Extella: The Umbral Star	PS4, PS Vita, Nintendo Switch	Marvelous	Marvelous	Multi (choix)	Des personnages masculins et féminins sont disponibles.	Site officiel de Fate/Extella	http://www.fateextella.com/char.html	https://www.youtube.com/watch?v=qvt4n-riGZ4	https://www.youtube.com/watch?v=CE9Y7mk59k8	action / hack 'n' slash	yes	10/11/2016 (Japon)
1	FIFA 18 †	PS4, Xbox One	Electronic Arts	Electronic Arts	Multi (choix)	Même si les possibilités de jouer des femmes sont réduites, elles existent.	Europe 1	https://www.europe1.fr/sport/fifa-2018-des-changements-notables-mais-pas-de-revolution-3450011	https://www.ea.com/fr-fr/games/fifa/fifa-19/news/fifa-18-leagues-and-teams	http://www.leparisien.fr/sports/football/fifa-18-ca-serait-top-de-pouvoir-jouer-avec-le-psg-feminin-confie-laure-boulleau-19-09-2017-7271787.php	sport / football	yes	29/07/2017
0 (nouveau support)	FIFA Switch	Switch											
0 (2016, maybe  extension / nveau support ?)	Final Fantasy XV: Monsters of the Deep	PSVR	Square Enix	Square Enix	Multi (choix + personnalisation)	Le joueur peut choisir un avatar masculin ou féminin.	Gameblog	http://www.gameblog.fr/tests/2904-monster-of-the-deep-final-fantasy-xv-ps-vr	http://www.jeuxvideo.com/test/755557/monster-of-the-deep-final-fantasy-xv-lachez-prise-sur-ps4.htm	https://finalfantasyxv.square-enix-games.com/fr/playstation-vr	sport / pêche	yes	21/11/2017
