to_keep	game	platforms	editor	developer	gender	Source explication	Source nom	Source lien	Autre source	Autre source	type	Multijoueur	Date de sortie
1	Fire Emblem Warriors	Nintendo 3DS	Koei Tecmo Games, Nintendo	Omega Force, Team Ninja	Multi (choix)	Des personnages masculins et feminins sont disponibles.	Gamekult	https://www.gamekult.com/jeux/fire-emblem-warriors-3050841671.html	https://www.nintendo.fr/Jeux/Nintendo-Switch/Fire-Emblem-Warriors-1175315.html	https://www.gamekult.com/jeux/fire-emblem-warriors-3050841671/test.html	RPG / Hack 'n' slash	yes	28/09/2017 (au Japon)
1	Fortnite (coming to Switch)	PC, Xbox One, PS4, iOS	Epic Games	Epic Games / People Can Fly	Multi (choix + personnalisation)	"On compte ainsi sur le skin Chef de l'équipe rose (pour l'avatar féminin), et Peinture de Guerre (pour l'avatar masculin). Ils sont tous les deux légendaires. "	IGN	https://fr.ign.com/fortnite-pc/39315/news/fortnite-un-skin-pour-les-fondateurs-et-les-defis-anniversai?utm_source=recirc	https://www.forbes.com/sites/erikkain/2018/12/06/here-are-all-the-new-season-7-battle-pass-skins-in-fortnite-battle-royale/#255251967a22	https://www.bfmtv.com/tech/fortnite-supprime-le-mouvement-de-poitrine-d-un-personnage-feminin-1532907.html	survie / action / battle royale	yes	25/07/2017
1	Forza Motorsport 7	Xbox One, Xbox One X, PC	Microsoft Studios	Turn 10 Studios	Multi (choix + personnalisation)	Le joueur choisit s'il est un pilote féminin ou masculin.	Venture Beat	https://venturebeat.com/2017/10/06/forza-motorsport-7-wants-you-to-care-about-your-driver-too/	https://www.theverge.com/games/2017/6/11/15770948/e3-2017-forza-motorsport-7-scorpio-play-story	https://www.youtube.com/watch?v=dln88rVl-TY	course / sport / automobile / voiture	yes	03/10/2017
0 (offsite)	Gang Beasts *	PC, PSVR											
1	Genesis Alpha One	PS4, Xbox One, PC	Team17	Radiation Blue	Multi (choix)	Les clones peuvent être masculins ou féminins.	Pure Play Station	https://pureplaystation.com/review-genesis-alpha-one-ps4/2019/01/	https://articles.gamerheadquarters.com/genesis-alpha-one-cloning-guide-how-to-create.html	https://sickcritic.com/2019/01/29/genesis-alpha-one-review-broken-cross/	Construction / RPG / survie / action / espace / violence / aventure / simulation / espace / fps / rogue-like	no	2020
0 (2016)	God of War	PS4	Sony Interactive Entertainment	Sony Santa Monica	M	Le joueur incarne un personnage masculin.	Gamekult	https://www.gamekult.com/jeux/god-of-war-ps4-3050376157/test.html	https://godofwar.playstation.com/	http://www.gameblog.fr/tests/3023-god-of-war-ps4	historique / action / aventure / Hack 'n' slash	no	20/04/2018
0 (offsite)	Golf For Workgroups *	PC											
1	Gran Turismo Sport	PS4	Sony Interactive Entertainment	Polyphony Digital	M	Il n'est pas possible de choisir le genre du personnage. De plus, la silhouette est masculine.	Gran Turismo Sport - Customization: Clothes & Helmet - Level 10 (Youtube)	https://www.youtube.com/watch?v=0u6YDP4NFjY	https://www.youtube.com/watch?v=B9F5eq40Y6o	https://www.youtube.com/watch?v=xLik66C64H4	course / sport / automobile / voiture	yes	17/10/2017
0 (pas assez d'info)	Griftlands	PC	Klei Entertainment	Klei Entertainment							RPG / aventure / politique / science-fiction / gestion	no	2019
0 (offsite)	GUTS *	PS4, Xbox One, PC											
1	Harvest Moon: Light of Hope †	PS4, Switch, PC	Natsume	Tabot	Multi (choix)	Le joueur peut incarner un petit garçon ou une petite fille.	Nintendo Town	http://www.nintendo-town.fr/2018/07/16/harvest-moon-light-of-hope-nintendo-switch-le-test/	https://lightningamer.com/harvest-moon-light-of-hope-details/	http://metatrone.fr/41079-harvest-moon-lumiere-espoir-sera-disponible-en-juin-sur-switch-et-ps4/	RPG / simulation / aventure / agriculture	yes	14/11/2017
1	Harvest Moon: Lil' Farmers	iOS, Android, Kindle	Natsume	Natsume	gender-ambiguous	Le joueur gère sa ferme.	Harvest Moon Lil Farmers Gameplay Review (Youtube)	https://www.youtube.com/watch?v=O_pKT9M8ddQ	https://www.youtube.com/watch?v=AffuGfDqHzI	http://www.jeuxvideo.com/news/665801/harvest-moon-lil-farmers-disponible-sur-ios-et-android.htm	simulation	no	25/05/2017
1	Hello Neighbor	Xbox One, PC	tinyBuild	Dynamic Pixels	M	Le joueur incarne un petit garçon dénommé Nicky.	ComicBook	https://comicbook.com/gaming/2018/03/08/hello-neighbor-prequel-novel/	https://www.nintendo-town.fr/2018/08/29/hello-neighbor-nintendo-switch-le-test/	https://www.actugaming.net/test-hello-neighbor-espionner-voisin-na-decidement-rien-de-ludique-124760/	Horreur / 1re personne / infiltration / stratégie / aventure / survie / action / fps / coopération	yes	08/12/2017
1	Hey! PIKMIN	3DS	Nintendo	Arzest	M	Le joueur incarne le capitaine Olimar.	Gamergen	https://gamergen.com/tests/hey-pikmin-nintendo-3ds-2ds-test-review-verdict-284782-1	https://www.jeuxactu.com/hey-pikmin-tout-ce-qu-il-faut-savoir-sur-le-jeu-108921.htm	http://www.jeuxvideo.com/test/690413/hey-pikmin-olimar-se-met-au-vert-sur-3ds.htm	action / plate-formes	no	28/07/2017
1	Hidden Agenda	PS4	Sony Interactive Entertainment	Supermassive Games	F	Le jeu met en scène deux héroines. 	Jeuxvideo.com	http://www.jeuxvideo.com/test/748597/hidden-agenda-la-gamme-playlink-fait-son-cinema.htm	https://www.youtube.com/watch?v=mTk7bTwBOM0	https://www.actugaming.net/test-hidden-agenda-lenquete-a-true-detective-119610/	narratif / réflexion / enquête	yes	24/10/2017
0 (DLC)	Horizon Zero Dawn: The Frozen Wilds DLC	PS4											
0 (offsite)	Ironcast *	Wii U, Switch											
0 (offsite)	Joggernauts *	PC											
1	Just Dance 2018	Xbox One, PS4, Switch, Wii, WiiU, 360, PS4	Ubisoft	Ubisoft	Multi (choix)	De nombreuses danses sont disponibles, avec tant des danseurs féminins que masculins.	Youtube	https://www.youtube.com/watch?v=esReE5W3SUo	https://www.youtube.com/watch?v=tv4QZQNUvts	https://www.youtube.com/watch?v=M-0BvBiFlVQ	musique / danse / rythme	yes	24/10/2017
1	Kaidro: The Awakening	PC		Gadget Bot	F	Les joueurs jouent le rôle d'une orpheline.	Kaidro: The Awakening	https://www.kaidrotheawakening.com/	https://www.vrfocus.com/2017/06/kaidro-the-awakening-looks-great-in-these-new-screenshots/	http://www.gadget-bot.com/kaidro	robots 	unknown	unknown
0 (2016)	Killing Floor 2	PC, PS4	Tripwire Interactive	Tripwire Interactive	Multi (choix)	Des personnages masculins et féminins sont disponibles.	TV Tropes	https://tvtropes.org/pmwiki/pmwiki.php/Characters/KillingFloor2	https://www.youtube.com/watch?v=amJ0MBwFpp0	https://www.gamekult.com/jeux/killing-floor-2-3050375871.html	fps /  Post-apocalyptique / Monstres / horreur / survie	yes	18/11/2016
0 (offsite)	Kingdoms and Castles*	PC											
1	Kingdom Hearts 3 †	PS4, Xbox One	Square Enix	Square Enix	Multi (au long de la partie)	Les personnages jouables sont masculin, même si sur une courte partie du jeu il est possible de jouer Aqua.	Télérama	https://www.telerama.fr/enfants/jeux-video-pour-enfants-kingdom-hearts-iii,-final-dune-saga-de-jeux-de-role-fleuve,n6131671.php	https://twinfinite.net/2019/01/kingdom-hearts-3-all-playable-characters/	https://www.crossmap.com/news/kingdom-hearts-3-release-date-co-director-says-that-aquas-story-in-the-kingdom-hearts-2-8-final-chapter-prologue-is-important.html	action / rpg	no	25/01/2019 (au Japon)
0 (offsite)	Kingsway *	PC											
1	Kirby Star Allies	Switch	Nintendo	HAL Laboratory	n/A	Les personnages ne sont pas genrés.	Nintendo	https://www.nintendo.fr/Jeux/Nintendo-Switch/Kirby-Star-Allies-1233956.html	https://www.youtube.com/watch?v=XgnKjiZcQ3U	https://www.youtube.com/watch?v=9PCUYjzSOEI	plate-formes / aventure	yes	16/03/2018
1	Knack 2	PS4	Sony Interactive Entertainment	SIE Japan Studio	M	Le personnage incarné est doté d'une voix masculine, et genré au masculin.	Playstation	https://www.playstation.com/fr-ch/games/knack-2-ps4/	https://musga.fr/knack-2-histoire-de-taille/	http://www.gameblog.fr/tests/2824-knack-ii-ps4	Action /  Beat'em All / Plate-Forme	yes	05/09/2017
0 (offsite)	Knights and Bikes *	PC											
0 (2016)	Lawbreakers	PC, PS4	Nexon	Boss Key Productions	Multi (choix)	Les joueurs peuvent choisir des personnages masculin ou féminin.	a.list	https://www.alistdaily.com/media/diversity-impacting-lawbreakers-game/	https://www.pcgamer.com/lawbreakers-characters-tips/	https://www.youtube.com/watch?v=Bx1SqLzTwgk	FPS / tir	yes	08/08/2017
0 (2015)	Lego Dimensions	PS3, PS4, Xbox One, Wii U	WB Games	Traveller's Tales									
1	Lego Marvel Super Heroes 2	Xbox One, PC, PS4, Switch	WB Games	Traveller's Tales	Multi (choix) 	Les joueurs ont beaucoup de personnages disponibles, tant féminins que masculins.	Lego	https://www.lego.com/en-us/kids/games/marvel-superheroes/marvel-super-heroes-2-ee6fccd6df6d4c11a4c17e65a8ea5427	https://www.youtube.com/watch?v=E8jDVTq16sU	https://www.ign.com/wikis/lego-marvel-super-heroes-2/Characters			
0 (offsite)	Legrand Legacy *	PC											
1	Life is Strange: Before the Storm	PS4, Xbox One, PC	Square Enix France	Deck Nine	F	Le joueur incarne Chloe, une adolescente.	Steam	https://store.steampowered.com/app/554620/Life_is_Strange_Before_the_Storm/	https://www.gamekult.com/actualite/life-is-strange-before-the-storm-l-heure-des-adieux-a-sonne-pour-max-et-chloe-3050803119.html	https://geekmick.fr/life-is-strange-before-the-storm-le-journal-intime-de-violaine-dans-chloe	histoire / narratif / aventure / 3ème personne / mystère / action / Pointer et cliquer	no	20/12/2017
0 (offsite)	Light Fall *	PS4, Switch, Wii U, Xbox One, PC											
1	Lone Echo	PC	Oculus Studios	Ready at Dawn Studios	M	Le joueur incarne une intelligence artificelle, Jack, dotée d'une apparence masculine et d'un prénom masculin.	Oculus	https://www.oculus.com/experiences/rift/1368187813209608/?locale=fr_FR	http://www.jeuxvideo.com/jeux/pc/jeu-548027/	https://www.realite-virtuelle.com/test-lone-echo-oculus-rift	aventure	yes	20/07/2017
1	Madden NFL 18 †	Xbox One, PS4, TBA	Electronic Arts	EA Tiburon	M (principal)	L'histoire est centrée sur un homme.	The Guardian	https://www.theguardian.com/technology/2017/jun/16/e3-2017-diversity-report-female-game-characters-mask-lack-of-progress-white-men-conferences	https://www.operationsports.com/madden-nfl-18s-story-mode-called-longshot-features-playable-colleges/	https://www.usgamer.net/articles/madden-18-finally-gives-women-a-place-in-eas-football-sim	football américain / sport / simulation	yes	25/08/2017
0 (offsite)	Manifest 99 *	VR											
0 (remake)	Mario & Luigi Superstar Saga + Bowser's Minions	3DS	Nintendo	AlphaDream	M (principal)			https://www.nintendo.com/games/detail/mario-luigi-superstar-saga-bowsers-minions-3ds/	https://www.nintendo.fr/Jeux/Nintendo-3DS/Mario-Luigi-Superstar-Saga-Les-sbires-de-Bowser-1234324.html	http://www.jeuxvideo.com/jeux/3ds/jeu-672120/#details	rpg / plateformes	no	06/10/2017
1	Marvel vs Capcom: Infinite	Xbox One, PS4, PC	Capcom	Capcom	Multi (choix)	Des personnages masculins et féminins sont disponibles.	IGN	https://www.ign.com/wikis/marvel-vs-capcom-infinite/Characters	https://www.polygon.com/2017/8/17/16162150/marvel-vs-capcom-infinite-gameplay-modes-online-offline-story-trailer-3	http://www.jeuxvideo.com/jeux/jeu-577494/	combat	yes	19/09/2017
1	Mario + Rabbids Kingdom Battle	Nintendo Switch	Ubisoft	Ubisoft	Multi (choix)	Les joueurs peuvent incarner des personnages variés comme Mario ou Peach.	Jeuxvideos.com	http://www.jeuxvideo.com/jeux/switch/jeu-651075/#details	https://www.nintendo.com/games/detail/mario-rabbids-kingdom-battle-switch/	https://www.youtube.com/watch?v=DqH-iwA0ZmU	tactique / aventure / stratégie	yes	29/08/2017
0 (2016)	Masquerada: Songs and Shadows	PC	Ysbryd Games	Witching Hour Studios	M	Les joueurs incarnent un révolutionnaire nommé Cyrus.	Masquerada	http://www.masquerada.com/	https://www.actugaming.net/masquerada-songs-and-shadows-ensorcelant-malgre-quelques-fausses-notes-106994/	https://store.steampowered.com/app/459090/Masquerada_Songs_and_Shadows/	RPG / narratif / tactique / drame	no	30/09/2016
1	Matterfall	PS4	Sony Interactive Entertainment	Housemarque	F	Le joueur incarne une mercenaire.	Jeuxvideo	http://www.jeuxvideo.com/test/702353/matterfall-un-run-and-gun-sympathique.htm	http://www.gameblog.fr/tests/2816-matterfall-ps4	https://www.actugaming.net/test-matterfall-ladrenaline-gameplay-secours-manque-doriginalite-109680/	action / tir / science-fiction	no	15/08/2017
1	Metal Gear Survive	PC, PS4, Xbox One	Konami	Konami	Multi (choix + personnalisation)	Le joueur peut incarner un personnage féminin ou masculin, et le personnaliser de façon détaillée.	Metal Gear Survive Character Creation (All Options) (Youtube)	https://www.youtube.com/watch?v=u-N2Jquq2dg	https://www.gamekult.com/jeux/metal-gear-survive-3050753181.html	https://www.youtube.com/watch?v=giYhP-pKMoE	action / aventure / survie	yes	20/02/2018
1	Metro Exodus	PC, Xbox One, PS4	Deep Silver	4A Games	M	"Artyom, le protagoniste de la série Metro, quitte les souterrains de Moscou avec d'autres membres de l'Ordre pour explorer l'est de la Russie en quête d'une nouvelle vie."	Jeuxvideos.com	http://www.jeuxvideo.com/jeux/jeu-669725/#details	https://www.metrothegame.com/fr/lhistoire-de-metro/	https://www.numerama.com/pop-culture/410385-on-a-joue-a-metro-exodus-a-la-gamescom-une-premiere-impression-mitigee.html	fps / Post-apocalyptique / combat /  infiltration / exploration / survival horror	no	15/02/2019
0 (no info)	Metroid Prime 4	Switch	Nintendo	Retro Studios						http://www.gameblog.fr/news/80977-metroid-prime-4-nintendo-redemarre-le-developpement-a-zero	fps		
0 (remake)	Metroid: Samus Returns	3DS	Nintendo	MercurySteam									
1	Middle-earth: Shadow of War	PS4, Xbox One, PC	Warner Bros. Interactive Entertainment	Monolith Productions	Multi (choix)	Des personnages masculins et féminins sont disponibles.	Shadow of war	https://www.shadowofwar.com/fr/characters/	https://www.youtube.com/watch?v=oTwezcA_zrc	https://www.youtube.com/watch?v=ojX9B7S0kOo	action / infiltration / heroic fantasy / fantasy / Monde ouvert / rpg / violence / 3e personne / guerre / narratif /  Hack 'n' slash / stratégie / médiéval / magie	no	27/09/2017
1	Minion Masters: Forced to Duel	Xbox One	BetaDwarf	BetaDwarf	Multi (choix)	Des personnages masculins et féminins sont disponibles.	Minion Masters	http://minionmastersthegame.com/	https://www.youtube.com/watch?v=Weq4JIaUI-c	https://www.youtube.com/watch?v=NOEnSE_Yoyo	Stratégie / cartes / tactique / action / fantasy / rpg 	yes	02/12/2016
1	Monster Hunter World	PS4	Capcom	Capcom	Multi (choix + personnalisation)	Le joueur peut choisir si son personnage est un homme ou une femme, et le personnaliser.	Jeuxvideos.com	http://www.jeuxvideo.com/test/781780/monster-hunter-world-le-renouveau-de-la-serie-est-une-totale-reussite.htm	https://www.youtube.com/watch?v=F95yiFvj5EQ	https://www.youtube.com/watch?v=jaOkbq3RRco	Action / chasse / monde ouvert / RPG / 3e personne / aventure / fantasy / exploration / Hack 'n' slash	yes	26/01/2018
0 (offsite)	Moonlighter *	PS4, Xbox One, PC											
1	Moss	PS4	Polyarc	Polyarc	gender-ambiguous	Le joueur incarne son propre rôle.	Nintendo	https://www.playstation.com/fr-fr/games/moss-ps4/	https://www.polyarcgames.com/	http://www.jeuxvideo.com/test/803700/moss-on-est-tombe-sous-le-charme-de-cette-petite-souris.htm	action / aventure / enigme	no	27/02/2018
0 (nouveau support)	Minecraft	PS4, Switch, Xbox One, PC					Minecraft	Minecraft					
1	Mystic Melee	PC	Serenity Forge	Ben Hopkins	Multi	Le joueur incarne des personnages en 2D, masculin et féminin.	Mystic Melee	http://mysticmelee.com/	https://www.youtube.com/watch?v=4O8aJAsI4tQ	https://www.youtube.com/watch?v=uHEDt1QqAlk	Action / aventure / plateformes / combat	yes	19/09/2017
1	NBA LIVE 18 †	PS4, Xbox One, TBA	Electronic Arts	EA Games	M	Ce n'est qu'à partir de NBA Live 19 que les joueurs ont pu créer leur joueuse.	EA Sports	https://www.easports.com/fr/nba-live/the-one	https://www.youtube.com/watch?v=xp3veZ8BjpA	https://www.ea.com/fr-fr/games/nba-live/nba-live-19/news/female-create-a-player	sport / basket	yes	15/09/2017
1	NBA 2K18	PS4, Switch, Xbox One	2K Sports	Visual Concepts	M	Pas de joueurs féminins disponibles.	NBA 2K18 - Character Creation (Youtube)	https://www.youtube.com/watch?v=GstyudaBCqI	https://www.forbes.com/sites/games/2018/09/11/nba-2k19-review-the-good-the-bad-the-bottom-line/#31f5716b6f8e	https://apptrigger.com/2017/09/18/nba-2k18-neighborhood-missing-female-athletes/	sport / basket	yes	15/09/2017
1	Need for Speed Payback †	Ps4, Xbox One, TBA	Electronic Arts	Ghost Games	Multi (plusieurs)	Le joueur incarne plusieurs personnages, de différents genre, au cours du jeu.	EA	https://www.ea.com/fr-fr/games/need-for-speed/need-for-speed-payback/news/nfs-payback-characters-story	http://jstationx.com/2017/06/11/e3-2017-need-for-speed-payback-female-character/	https://www.ea.com/fr-fr/games/need-for-speed/need-for-speed-payback	course / voiture / automobile	yes	10/11/2017
0 (autre)	New E3 2017 Amiibo	Switch											
1	Nidhogg 2 †	PS4, PC	Messhof Games	Messhof Games	Multi (personnalisation)	Les joueurs peuvent entièrement customiser leurs avatars.	Gamespot	https://www.gamespot.com/articles/you-can-make-your-character-look-even-weirder-in-n/1100-6451344/	https://www.youtube.com/watch?v=5RekMPx2OcY	https://store.steampowered.com/app/535520/Nidhogg_2/	Action / combat / humour / gore / comédie / plateformes / horreur	yes	15/08/2017
0 (offsite)	Ninjin: Clash of Carrots *	PS4, Xbox One, PC											
1	Ni No Kuni 2	PS4, PC	Level-5	Level-5	Multi (choix)	Des personnages masculins et féminins sont disponibles.	Twinfinite	https://twinfinite.net/2018/03/ni-no-kuni-2-playable-characters/	https://www.youtube.com/watch?v=bxtndPhNOyU	http://www.jeuxvideo.com/test/816748/ni-no-kuni-ii-revenant-kingdom-un-savant-melange-des-genres.htm	fantastique / rpg	yes	23/03/2018
1	Observer	PS4, Xbox One, PC	Aspyr	Bloober Team	M	Le joueur prend le contrôle d'un Observateur, Daniel Lazarski.	jeuxvideo.com	http://www.jeuxvideo.com/jeux/pc/jeu-501075/	http://www.gameblog.fr/tests/2823-observer-pc-ps4-xb1	https://store.steampowered.com/app/514900/observer/	survie / horreur / Science-fiction / narratif / aventure / 1re personne / détective / infiltration / survie	no	15/08/2017
1 (offsite, E3 2018)	Ooblets	Xbox One, PC	Double Fine Productions	Glumberland	Multi (personnalisation)	Le personnage est customisable selon les goûts du joueur - il peut être tant masculin que féminin.	"Rebecca Cordingley and Ooblets -- Highlighting Women in Video Games Ep. 1"	https://www.youtube.com/watch?v=GRSNNivQK1g	https://www.youtube.com/watch?v=EeRuBoO-HmE	https://www.youtube.com/watch?v=IREOjTUWD8s	simulation / agricole	no	2019
0 (remake)	Outcast: Second Contact	PC	Bigben Interactive	Appeal						http://www.jeuxvideo.com/jeux/jeu-102045/			
1	Ori and the Will of the Wisps	Xbox One, PC	Microsoft Studios	Moon Studios	N/a	Le personnage est non-humain.	Ori and the Will of the Wisps - E3 2018 - Gameplay Trailer (Youtube)	https://www.youtube.com/watch?v=kd0zbNw1VOg	https://www.youtube.com/watch?v=kUUU1zgmVF8	https://www.youtube.com/watch?v=rcvgrJxEDT4	plates-formes / aventure / Metroidvania / action	yes	2019
1	Osiris New Dawn	Xbox One, PC	Reverb Triple XP	Fenix Fire Entertainment	Multi (choix + personnalisation)	Les joueurs peuvent choisir un personnage masculin ou féminin dans différentes classes, puis le personnaliser.	Osiris: New Dawn | Character Creation (Youtube)	https://www.youtube.com/watch?v=ktrkzAKOwqM	https://www.youtube.com/watch?v=Zh0-Y-aecUI	https://osirisnewdawn.gamepedia.com/Character_creation	Espace / monde ouvert / science-fiction / construction / aventure / fabrication / action / rpg / fps / horreur / survie	yes	28/09/2016
1	Overland	PC	Finji	Finji	N/a	Il s'agit d'un jeu où l'on doit gérer une équipe de survivants, le joueur n'incarne pas un personnage particulier.	Indiemag	https://www.indiemag.fr/jeux/overland	https://veuillezparlapresente.com/actualite/news/overland-jeu-de-survie-tactique-debarque-first-access/	https://www.indiemag.fr/jeux/overland	stratégie / post-apocalyptique / survie / Rogue-like	no	2019
0 (nouveau support)	Path of Exile	Xbox One, PC											
0 (offsite)	Phantom Trigger *	PC											
0 (nouveau support)	Pictlogica Final Fantasy	3DS	Square Enix	Jupiter				http://www.nintendo-difference.com/news38237-pictlogica-final-fantasy--annonce-pour-leshop-de-la-nintendo-3ds-picross-x-final-fantasy.htm	https://www.gamekult.com/jeux/pictlogica-final-fantasy-3050182014.html				
0 (offsite)	Pixel Ripped 1989 *	PS4, PC, VR											
1	Pokemon: Let's Go, Pikachu/Eevee †	Nintendo Switch	Nintendo	Game Freak	Multi (choix)	Il est possible d'incarner une héroine ou un héros.	Site officiel de Pokémon	https://pokemonletsgo.pokemon.com/fr-fr/story/	https://www.pokekalos.fr/jeux/switch/pokemonletsgopikachuevoli/articles-artwork-des-personnages-562.html	https://pokemonletsgo.pokemon.com/fr-fr/story/	aventure / rpg	yes	16/11/2018
1	Pokken Tournament DX †	Switch	Nintendo	Bandai Namco Entertainment	N/a	Les personnages ne sont pas humains et pas genrés.	Jeux Actu	https://www.jeuxactu.com/pokken-tournament-dx-un-trailer-de-gameplay-avec-tortank-113223.htm	https://www.jeuxactu.com/pokken-tournament-dx-un-trailer-pour-les-nouveaux-personnages-110042.htm	http://www.jeuxvideo.com/jeux/switch/jeu-667101/	combat	yes	22/09/2017
1	Pretta: Vendetta Rising	PC, PS4	YJM GAMES	Illion Corp	Multi (choix)	Deux des trois personnages sont féminins.	VR Player	https://www.vrplayer.fr/playstation-vr-preta-mars/	http://www.jeuxvideo.com/videos/675674/preta-vendetta-rising-un-rpg-cooperatif-prometteur-arrive-en-realite-virtuelle-e3.htm	http://www.gameblog.fr/blogs/vrsinge/p_125418_preta-vendetta-rising-diablo-vs-dark-souls-en-vr-gameplay	Aventure / violence / action / rpg / hack'n slash	yes	06/07/2017
1	Raiders of the Broken Planet (renommé depuis en "Space Lords")	Xbox One	MercurySteam	MercurySteam	Multi (choix)	Le joueur a le choix entre différents personnages de différents genres.	Space Lords	https://spacelordsthegame.com/#undefined	https://spacelordsthegame.com/news/devshouts-character-focus-alicia	https://www.mercurysteam.com/blog/	aventure / tir / tactique / stratégie / 3e personne / futuriste / violence / humour	yes	22/09/2017
0 (nouveau support)	Radiant Historia: Perfect Chronology	Switch, 3DS			M			http://www.jeuxvideo.com/jeux/3ds/jeu-631180/#details	https://www.gamekult.com/jeux/radiant-historia-perfect-chronology-3050875485/test.html				
1	Player Unknown's Battlegrounds	PC, Xbox One	 PUBG Corporation (Bluehole)	 PUBG Corporation (Bluehole)	Multi (choix + personnalisation)	Il est possible de choisir une femme et de la personnaliser.	PlayerUnknown's Battleground - Character Creator: Male, Female, Face Presets, Hair & Skin Tones	https://www.youtube.com/watch?v=qsR9c5hOUo0	https://www.youtube.com/watch?v=CcAZOWndSCk	https://www.youtube.com/watch?v=Prx0uqVlHX0	Action / Aventure / MMO / MMOFPS / Shooter / Battle Royale	yes	23/03/2017
0 (no info)	Pikmin 4	Switch	Nintendo	Nintendo Entertainment Analysis & Development				http://www.gameblog.fr/news/68853-e3-2017-pikmin-4-est-toujours-en-developpement-selon-nintend					
1	Project Cars 2	PC, PS4, Xbox One	Bandai Namco Entertainment	Série : Pikmin	gender-ambiguous	Le joueur met le nom, le prénom et la nationalité qu'il souhaite pour son personnage. pas de mention du genre.	g2A	https://www.g2a.com/news/latest/project-cars-2-prepares-launch-beautiful-video/	https://www.youtube.com/watch?v=GIpfR-OoKa4	http://www.jeuxvideo.com/jeux/jeu-430949/#details	course / simulation / voiture	yes	22/09/2017
1	Red Dead Redemption 2	PS4, Xbox One	Rockstar Games	Rockstar Studios	M	Arthur Morgan est le personnage principal.	Gameblog	http://www.gameblog.fr/tests/3197-red-dead-redemption-ii-ps4	https://www.youtube.com/watch?v=94IUmqvGkeg	http://www.jeuxvideo.com/jeux/jeu-554033/#details	tir / action /aventure / western / tps	yes	26/10/2018
1	Redout	PS4, Switch, Xbox One	505 Games	34BigThings	gender-ambiguous	C'est un jeu de course où aucun pilote particulier n'apparaît.	Redout | PC GAMEPLAY | 60 FPS | HD 1080P (Youtube)	https://www.youtube.com/watch?v=FmcfoP-I74I	https://www.youtube.com/watch?v=oRtZe7ViHdA	https://www.gamekult.com/jeux/redout-3050715541.html	course / voiture	yes	29/08/2017 (US)
1	Riverbond	PS4, Xbox One, PC	Cococucumber	Cococucumber	n/a	Les personnages sont, pour l'essentiel, difficilement associables à un genre.	Cococucumber	https://cococucumber.co/home/riverbond/	https://www.youtube.com/watch?v=kxdNvKrvSLU	https://www.indiemag.fr/jeux/riverbond	action / aventure / hack-and-slash 	yes	2019
1	River City: Knights of Justice	3DS	Natsume	Arc System Works	M (personnage principal)	Le personnage principal est masculin.	jeuxvideo.com	http://www.jeuxvideo.com/jeux/3ds/jeu-663637/#details	https://www.youtube.com/watch?v=QF5_2AAd2ac	https://www.nintendo.fr/Jeux/Jeux-a-telecharger-sur-Nintendo-3DS/River-City-Knights-of-Justice-1237676.html#Vue_d_ensemble	rpg / aventure / combat / action / beat'em up 	no	20/06/2017
0 (remake)	River City: Rival Showdown	3DS	Natsume	Arc System Works	M	Le personnage incarné est masculin.	jeuxvideo.com	http://www.jeuxvideo.com/jeux/3ds/jeu-668717/#details	https://www.nintendo.fr/Jeux/Jeux-a-telecharger-sur-Nintendo-3DS/River-City-Rival-Showdown-1306696.html	http://mag.mo5.com/actu/126818/river-city-rival-showdown-le-remake-dun-classique-dispo-sur-3ds/	action	yes	21/11/2017
