to_keep	game	platforms	editor	developer	gender	Source explication	Source nom	Source lien	Autre source	Autre source	type	Multijoueur	Date de sortie
0 (offsite)	Road Redemption *	PS4, Wii U, Xbox One, PC											
1	Robocraft Infinity	Xbox One	Freejam Games	Freejam Games	n/a	Les joueurs construisent leur robot.	Robot Craft	https://robocraftinfinity.com/en/	http://www.gameblog.fr/news/74609-xbox-one-creez-et-detruisez-comme-vous-voulez-dans-robocraft	https://www.gamereactor.fr/robocraft-infinity-test/	mmo / construction / robots / stratégie / tir / combat	yes	11/04/2018
0 (nouveau support)	Rocket League	Switch, PC4, Xbox One, PC											
1	Roto Color Rhythm	PC	Blue Volcano	Blue Volcano	gender-ambiguous	Le joueur incarne un personnage à la forme changeante.	Roto Color Rhythm	https://rotocolorrhythm.gamepedia.com/Roto_Color_Rhythm_Wiki	https://rotocolorrhythm.com/press/	https://www.youtube.com/watch?v=pBSv8yjGrK0	musique / rythme	no	2019
0 (offsite)	Runner3 *	Wii U, Switch, PC											
1	Sakuna: Of Rice and Ruin †	PS4, PC	Xseed Games	Edelweiss	F	"A l’origine, Sakuna est une petite déesse de l’agriculture, mais l’irruption de créatures malfaisantes sur l’île d’Hinoe l’oblige à justifier sa réputation de bêcheuse. Ce sera en effet l’arme de prédilection de l’héroïne, qui la manie comme personne"	Gamekult	https://www.gamekult.com/jeux/sakuna-of-rice-and-ruin-3050876003/test.html	http://www.jeuxvideo.com/news/665133/e3-2017-sakuna-sera-sur-le-stand-xseed.htm	https://www.youtube.com/watch?v=C6aC2tZjajA	Action / Plate-Forme / combat	unknown	2019
0 (2015)	Sea of Thieves	Xbox One, PC											
0 (offsite)	Secret Legend *	PC											
0 (offsite)	Semblance †*	PC											
1	Senran Kagura: Peach Beach Splash	PS4	Marvelous	Tamsoft	F	Le joueur incarne une héroine ultra stéréotypée.	Actugaming	https://www.actugaming.net/test-senran-kagura-peach-beach-splash-faut-toutes-aspergez-112293/	http://www.jeuxvideo.com/test/655007/senran-kagura-peach-beach-splash-le-splatoon-pegi18.htm	https://www.tryagame.fr/senran-kagura-peach-beach-splash/test-senran-kagura-peach-beach-splash/	tps / Adulte / action / tir / troisième personne / narratif / beat them all	yes	16/03/2017
1	Shadowverse	PC	Cygames	Cygames	n/a	Il s'agit d'un jeu de cartes.	Shadowverse	https://shadowverse.com/	http://www.jeuxvideo.com/test/685039/shadowverse-quand-hearthstone-se-donne-des-airs-d-anime-japonais.htm	https://store.steampowered.com/app/453480/Shadowverse_CCG/	cartes / Stratégie / fantasy / aventure / rpg / MMORPG / horreur	yes	28/10/2016
0 (remake)	Shadow of the Colossus	PS4											
0 (offsite)	Shakedown: Hawaii *	PS4, Switch, PC											
0 (2016)	Shantae: Half-Genie Hero	PS4, PS Vita, Switch, Xbox One, PC	WayForward Technologies	Inticreates	F	Le joueur incarne une héroine.	Jeuxvideo.com	http://www.jeuxvideo.com/test/589834/shantae-half-genie-hero-une-vraie-bouffee-d-air-frais.htm	https://www.gamekult.com/jeux/shantae-half-genie-hero-3050179980.html	http://www.gameblog.fr/tests/2662-shantae-half-genie-hero-ps4-xb1-pc-psv-wiiu	plateformes / action / aventure / humour / fantasy / comédie	no	30/09/2016
0 (no info)	Shift	Xbox One											
0 (remake)	Shin Megami Tensei: Strange Journey Redux	3DS								http://www.jeuxvideo.com/jeux/3ds/jeu-631316/#details			
1	Skull and Bones †	PS4, Xbox One, PC	Ubisoft	Ubisoft Singapour, Blue Byte, Ubisoft Chengdu	Multi (choix)	"E3 2017: Ubisoft Announces Skull and Bones, Features Female Pirates"	JStation X	http://jstationx.com/2017/06/13/e3-2017-ubisoft-skull-and-bones-female-pirates/	https://skullandbones.ubisoft.com/game/en-us/news/detail.aspx?news=327054&title=everythingyouneedtoknowaboutskull&bonesaftere32018	https://www.youtube.com/watch?v=hjC8_av7hhU	action / aventure	yes	2019
0 (nouveau support)	Skyrim	Switch Edition											
0 (nouveau support)	Skyrim PSVR	PS4											
1	Songbringer †	PS4, Xbox One, PC	Wizard Fu Games	Wizard Fu Games	M	Le joueur incarne un héros dénommé Roq.	Indiemag	https://www.indiemag.fr/jeux/songbringer	https://www.youtube.com/watch?v=zSubNj87DhU	http://xbox-world.fr/test-songbringer-xbox/	Aventure / action / rpg	yes	01/09/2017
1	Sonic Forces	PS4, Switch, Xbox One, PC	Sega	Sonic Team	Multi (choix + personnalisation)	Personnage non-humain.	Nintendo	https://www.nintendo.fr/Jeux/Nintendo-Switch/Sonic-Forces--1237463.html	https://www.youtube.com/watch?v=s3ykUqdxnT0	http://www.jeuxvideo.com/jeux/nintendo-nx/jeu-517587/#details	courses / plateformes	no	07/11/2017
1	Sonic Mania	PS4, Switch, Xbox One, PC	Sega	Tantalus Media	N/a	Personnage non-humain, "hérisson", non-genré.	Jeuxvideo.com	http://www.jeuxvideo.com/test/700604/sonic-mania-le-herisson-retrouve-son-lustre-d-antan.htm	https://www.youtube.com/watch?v=3XLzvaKR-i8	https://www.lemonde.fr/pixels/article/2017/08/18/on-a-teste-sonic-mania-etonnant-retour-aux-sources-pour-la-mascotte-de-sega_5173679_4408996.html	plateformes	yes	29/08/2017
0 (2015)	South Park: The Fractured But Whole	PS4, Xbox One, PC	Ubisoft	Ubisoft San Francisco	Multi (choix + personnalisation)	On peut choisir un personnage masculin ou féminin et le personnaliser.	South Park The Fractured But Whole - Character Creation & Customization (Youtube)	https://www.youtube.com/watch?v=82Y4d3_To1M	https://www.kotaku.com.au/2017/09/how-south-park-the-fractured-but-whole-retcons-gender/	https://www.youtube.com/watch?v=CNA87NHRxmA	RPG / comédie / humour / aventure / monde ouvert / action / monde ouvert / narratif	no	17/10/2017
1	South Park Phone Destroyer	iOS, Android	Ubisoft	RedLynx	Multi (choix + personnalisation)	On peut choisir un personnage masculin ou féminin et le personnaliser.	4wearegamer	http://4wearegamers.com/2017/11/22/test-south-park-phone-destroyer/	https://www.youtube.com/watch?v=HJaFQsBWq-M	https://www.youtube.com/watch?v=LurzzZ5j7Fk	stratégie / action / cartes	yes	09/11/2017
0 (2016)	Spider-Man †	PS4	Sony Interactive Entertainment	Insomniac Games	M (principal)	Le personnage principal est masculin, même si on peut aussi incarner à un moment un personnage féminin.	Gamekult	https://www.gamekult.com/jeux/spider-man-ps4-3050715199/test.html	https://www.eclypsia.com/fr/spider-man/actualites/spider-man-les-ennemis-la-taille-de-la-map-et-les-personnages-jouables-25978	https://www.jeuxvideo-live.com/news/spider-man-passe-ea-laction-pour-le3-2018-89792	action / aventure	no	07/09/2018
1	Splatoon 2 †	Switch	Nintendo	Nintendo EPD	Multi (choix + personnalisation)	On peut choisir un personnage masculin ou féminin et le personnaliser.	Splatoon 2 - Character Creation, Tutorial + Splatfest! (Youtube)	https://www.youtube.com/watch?v=vRPy79y1ZB4	https://www.youtube.com/watch?v=kDZjFK8FYrM	https://splatoon.nintendo.com/fr/	Party-Game / tir / tps / troisième personne	yes	21/07/2017
1	Starlink: Battle for Atlas †	PS4, Xbox One, Nintendo Switch	Ubisoft	Ubisoft Toronto, Virtuos	Multi (choix)	Un personnage masculin est disponible, de même qu'un personnage féminin et des non-humains.	Site officiel d'Ubisoft	https://starlink.ubisoft.com/game/fr-fr/starlink/pilots	https://www.nintendo.fr/Jeux/Nintendo-Switch/Starlink-Battle-for-Atlas-1388917.html	https://venturebeat.com/2018/08/25/starlink-battle-for-atlas-hands-on-preview-on-my-mission-to-save-toys-to-life/	action / aventure	yes	16/10/2018
0 (no info)	Star Child	PS4	Gametrust	Playful Corp.						https://www.jeuxvideo-live.com/jeux-video/star-child/	science-fiction / action / plateformes / puzzle		unknown
0 (2016)	Star Wars Battlefront II †	PS4, Xbox One, PC	Electronic Arts	Dice	Multi (choix)	Plusieurs personnages de différents genres sont jouables.	Comic Book	https://comicbook.com/gaming/2017/10/22/star-wars-battlefront-ii-female-protagonist-iden-versio/	https://www.gamespot.com/articles/hidden-star-wars-battlefront-2-character-customiza/1100-6455268/	http://www.jeuxvideo.com/test/744851/star-wars-battlefront-ii-un-bon-jeu-gache-par-des-micro-transactions.htm	fps / science-fiction / espace	yes	17/11/2018
0 (2016)	State of Decay 2	Xbox One, PC	Microsoft Studios	Undead Labs	Multi (choix + personnalisation)	On peut choisir un personnage masculin ou féminin et le personnaliser.	Polygon	https://www.polygon.com/2018/5/17/17361124/state-of-decay-2-review-xbox-one-pc	https://twitter.com/stateofdecay/status/971828022104899584?lang=fr	https://www.youtube.com/watch?v=PZozWmbCSbQ	tps / action / post-apocalyptique / zombies	yes	22/05/2018
0 (DLC)	Steep: Road to the Olympics	PC, PS4, Xbox One								http://www.jeuxvideo.com/jeux/jeu-670715/			
0 (offsite)	Stifled *	PC											
1	Strange Brigade	Xbox One, PS4, PC	Rebellion Developments	Rebellion Developments	Multi (choix)	" Rompus aux méthodes de lutte contre les entités surnaturelles, ces quatre hommes et femmes au caractère bien trempé interviennent partout où se produisent des phénomènes inexplicables, avec toute latitude pour y mettre un terme."	Gamekult	https://www.gamekult.com/publicite/strange-brigade-le-gameplay-3050808495.html	https://www.express.co.uk/entertainment/gaming/1009605/Strange-Brigade-review-PS4-Xbox-One-Rebellion	https://www.youtube.com/watch?v=GiolfCFEL9A	TPS / tir / action / troisième personne / horreur / zombies / tir 	yes	28/08/2018
1	Sumer †	PC	Studio Wumpus	Studio Wumpus	Multi (choix)	Plusieurs personnages de différents genres sont jouables.	Dual Schockers	https://www.dualshockers.com/sumer-preview-pc-switch/	http://www.sumergame.com/patch	http://www.sumergame.com/	Stratégie / société / historique / plateformes / stratégie / mythologie	yes	15/02/2017
1	Super Hot VR	PSVR	SUPERHOT Team	SUPERHOT Team	Gender-ambiguous	On ne connait pas le genre du personnage, dont on voit uniquement les mains.	SUPERHOT VR - PSVR Accolades Trailer | E3 2017 (Youtube)	https://www.youtube.com/watch?v=U6hTapLQEf0	https://www.youtube.com/watch?v=JXc3Yxz06fE	https://superhotgame.com/vr/	Action / tir / fps / 1re personne	no	05/12/2016
1	Super Lucky's Tail	Xbox One	Microsoft Studios	Playful Corp.	M	Le personnage n'est pas humain mais genré, il doit aider sa soeur.		http://www.jeuxvideo.com/test/744561/super-lucky-s-tale-ruse-comme-un-renard.htm	https://www.gamekult.com/jeux/super-lucky-s-tale-3050876027/test.html	http://www.jeuxvideo.com/jeux/one/jeu-669778/	Plate-Forme / Aventure / action 	no	07/11/2017
1	Surviving Mars	Xbox One	Paradox Interactive	Haemimont Games	Gender-ambiguous	Le joueur choisit un profil de commandant mais n'est pas associé à un genre particulier.	SURVIVING MARS #1 [FR] On démarre une colonie sur mars ! D'abord les robots puis les humains ! (Youtube)	https://www.youtube.com/watch?v=T7eEHKxrJHM	https://www.youtube.com/watch?v=W6frrlp2mMc	https://www.paradoxplaza.com/surviving-mars/SUSM01GSK-MASTER.html	Stratégie / construction / survie / espace / simulation / scoe,ce-fiction / gestion / futur / monde ouvert	no	15/03/2018
1	Sushi Striker: The Way of the Sushido	3DS	Nintendo	Indies 0	Multi (choix)	Le joueur choisit au début du jeu si le personnage principal est un héros ou une héroine.	Nintendo	https://www.nintendo.fr/Jeux/Nintendo-Switch/Sushi-Striker-The-Way-of-Sushido-1347617.html	https://www.youtube.com/watch?v=eAqZwVtCZfk	http://nintendo-difference.com/news43154-sushi-striker--the-way-of-sushido---la-cinematique-douverture.htm	action / cuisine 	yes	08/06/2018
1	Sundered †	PS4, PC	Thunder Lotus Games	Thunder Lotus Games	F	Le joueur incarne Eshe, une voyageuse.	Nintendo	https://www.nintendo.fr/Jeux/Jeux-a-telecharger-sur-Nintendo-Switch/Sundered-Eldritch-Edition-1481160.html	https://www.jvfrance.com/test-sundered-un-rogue-like-metroidvania-convaincant-sur-switch-175083/	http://www.jeuxvideo.com/jeux/jeu-542908/#details	survie / horreur / plateformes / metroidvania / action / aventure / exploration 	yes	28/07/2017
0 (offsite)	Super Comboman *	PC											
1	Super Mario Odyssey †	Switch	Nintendo	Nintendo EPD Tokyo	M	Le joueur incarne Mario.	Nintendo	https://www.nintendo.fr/Jeux/Nintendo-Switch/Super-Mario-Odyssey-1173332.html	http://www.jeuxvideo.com/test/733646/super-mario-odyssey-les-nouvelles-aventures-de-mario-decrochent-la-lune.htm	https://www.youtube.com/watch?v=uGtWuDYRaD8	Plate-Forme / action /aventure	yes	27/10/2017
1	Tacoma	Xbox One, PC	Fullbright	Fullbright	F	Le joueur incarne Amy Ferrier.	Jeuxvideo.com	http://www.jeuxvideo.com/preview/505536/tacoma-l-aventure-spatiale-narrative-des-createurs-de-gone-home-e3-2016.htm	http://www.gameblog.fr/news/52848-tacoma-nos-impressions-en-apesanteur	https://www.gamekult.com/jeux/tacoma-3050483939/test.html	Aventure / histoire / Science-fiction / espace /  1re personne / exploration / ambiance / mystère / futuriste / horreur	no	01/08/2017
1	The Artful Escape	Xbox One	Annapurna Interactive	Beethoven & Dinosaur	M	Le joueur incarne Francis Vendetti, le neveu d'un musicien légendaire en quête d'une épiphanie musicale.	The Artful Escape sur Xbox One - Trailer E3 2017 (Youtube)	https://www.youtube.com/watch?v=9vHs7Dn45vU	http://www.jeuxvideo.com/jeux/jeu-461313/	http://www.jeuxvideo.com/jeux/jeu-461313/#details	aventure / science-fiction / plateformes / narratif	no	unknown
1	The Crew 2	Xbox One, PS4, PC	Ubisoft	Ivory Tower	Multi (choix + personnalisation)	On peut choisir un personnage masculin ou féminin et le personnaliser.	Twinfinite	https://twinfinite.net/2018/06/crew-2-character-customization-guide/	https://www.youtube.com/watch?v=kwyI_0Rtr-g	https://www.youtube.com/watch?v=4Q8HQAJ7cmw	voiture / course / Monde ouvert / action / vol / arcade / simulation / 1re personne / 3e personne / aventure / sport 	yes	29/06/2018
0 (extension)	The Elder Scrolls Online: Morrowind	Ps4, Xbox One, PC											
0 (2015)	The Elder Scrolls Legends	PC, Android, iPhone	Dire Wolf	Bethesda Softworks						http://www.jeuxvideo.com/test/623860/the-elder-scrolls-legends-un-hearthstone-like-correct-qui-manque-d-arguments.htm	stratégie / cartes /  Fantasy / société / nudité / action	yes	09/03/2017
1	The Escapists 2	PS4, Switch, Xbox One, PC	Team17	Mouldy Toof Studios	Multi (personnalisation)	Le joueur incarne un prisonnier, dont on ne définit pas le genre spécifiquement mais que l'on peut nous même "genrer" en lui choisissant une coupe de cheveux qui l'est par exemple.	The Escapists 2 Create-a-Con Trailer (Youtube)	https://www.youtube.com/watch?v=NmzpDbwfcDM	https://steamcommunity.com/app/641990/discussions/0/1693788384146387002/	https://www.team17.com/games/the-escapists-2/	gestion / simulation / stratégie	yes	22/08/2017
1	The Evil Within 2	PS4, Xbox One, PC	Bethesda Softworks	Tango Gameworks	M	Le joueur incarne Sebastian Castellanos.	jeuxvideo.com	http://www.jeuxvideo.com/jeux/jeu-670020/#details	https://www.gamekult.com/jeux/the-evil-within-2-3050876011.html	https://theevilwithin2.bethesda.net/en	action / aventure / survie / horreur	no	13/10/2017
1	The Inpatient	PS4	Sony Interactive Entertainment	Supermassive Games	Multi (choix)	Le joueur peut sélectionner le genre du personnage qu'il incarne.	Gaming Bolt	https://gamingbolt.com/the-inpatient-wiki	https://www.glaciergaming.com/articles/1865/the-inpatient	https://www.well-played.com.au/hands-on-with-the-inpatient/	action / survie / horreur	no	23/01/2018
1	The King's Bird	TBA	Graffity Games	Serenity Forge	F	Le joueur incarne une héroine.	jeuxvideo.com	http://www.jeuxvideo.com/test/921413/the-king-s-bird-un-plateformer-qui-donne-des-ailes.htm	https://www.jeuxactu.com/test-the-king-s-bird-ce-jeu-de-plateformes-merite-t-il-qu-on-le-couron-117156.htm	https://www.youtube.com/watch?v=tK0Tl8p6jt8	action / plateformes / narratif	no	23/08/2018
1	The Last Night	PC, Xbox One	Raw Fury	Odd Tales	M	Le joueur incarne Charlie, "un citoyen de seconde classe"	Odd Tales	http://oddtales.net/	https://store.steampowered.com/app/612400/The_Last_Night/	https://www.pcgamer.com/cyberpunk-sidescroller-the-last-night-runs-into-massive-legal-and-funding-issues/	Cyberpunk / aventure / action / science-fiction / narratif / violence 	no	unknown
0 (DLC)	The Legend of Zelda: Breath of the Wild DLC	Switch											
1	The Swords of Ditto †	PS4, PC	Devolver digital	Onebitbeyond	Multi (random)	Le joueur incarne plusieurs personnages différents, de genres différents, au long du jeu.	The Swords of Ditto	http://theswordsofditto.com/	https://www.neoseeker.com/the-swords-of-ditto/Can_you_create_your_own_custom_character	https://www.youtube.com/watch?v=1e0ivf4Afd4	Aventure / rpg / action / Rogue-like 	yes	24/04/2018
0 (2016)	Titanfall 2	PC, PS4, Xbox One	Electronic Arts	Respawn Entertainment	Multi (choix + personnalisation)	Il est possible de sélectionner des personnages de chaque genre.	TITANFALL 2 HOW TO GET FEMALE MALE PILOTS (Youtube)	https://www.youtube.com/watch?v=vJuSixxmdho	https://www.youtube.com/watch?v=1UwzKE_23DU	http://www.jeuxvideo.com/test/550137/titanfall-2-l-outsider-du-fps-qui-devint-un-tenor.htm	Science-Fiction / Robots / fps	yes	28/10/2016
1	Total War: Arena	PC	Wargaming Alliance	Creative Assembly	Multi (choix)	Plusieurs personnages de différents genres sont jouables.	Total War Arena	https://totalwararena.com/fr/commanders1/	https://guides.gamepressure.com/total_war_arena/guide.asp?ID=43615	https://twitter.com/totalwararena/status/647450940853878784	tactique / gestion / stratégie	yes	22/02/2018
1	Total War: Warhammer II	PC	Sega	Creative Assembly	N/a	Il s'agit d'un jeu de stratégie où l'on incarne pas un personnage en particulier.	jeuxvideo.com	http://www.jeuxvideo.com/jeux/pc/jeu-414138/	 https://www.youtube.com/watch?v=IOABCAf4Ts0	http://www.jeuxvideo.com/test/717004/total-war-warhammer-2-vers-un-nouveau-monde-de-possibilites.htm	action / statégie / fantasy / action / guerre / tactique / histoire / narratif / adultes / gestion	yes	28/09/2017
0 (offsite)	Tornado Tower *	VR											
0 (offsite)	Tower 57 *	PC	11 bit studios	Pixwerk	Multi (choix)	Les personnages sont disponible en genre féminin et masculin.	Tower 57	http://tower57game.com/#media	https://tower57.gamepedia.com/Characters	https://www.kickstarter.com/projects/514621648/tower-57?lang=fr	action / tir / vue de dessus / rétro	yes	16/11/2017
1	Transference	PS4, Xbox One, PC		Ubisoft, SpectreVision, Ubisoft Montréal	Gender-ambiguous	"In order to make Transference a unique experience, Raymond and his family are all non-playable characters. Instead, gamers will essentially play as themselves."	Syfy	https://www.syfy.com/syfywire/fantastic-fest-ubisoft-and-spectrevision-give-an-in-depth-look-at-their-vr-collaboration	https://www.ubisoft.com/en-us/game/transference/	https://www.realite-virtuelle.com/transference-vr-test	action / aventure /  Escape Room / Horreur	no	13/09/2018
1	Tropico 6	PC, PS4, Xbox One	Kalypso Media	Kalypso Media	Multi (choix + personnalisation)	Le dictateur était à la base un homme, mais on peut désormais aussi incarner une femme.	Jeuxactu	https://www.jeuxactu.com/tropico-6-on-y-a-joue-un-episode-prometteur-nos-impressions-115755.htm	http://www.nrj-games.fr/chroniques/tropico-6-gestion-ville-exotique-preview	http://www.jeuxvideo.com/jeux/jeu-665448/#details	gestion / stratégie	yes	26/03/2019
1	Tunic	PC, Xbox One	Finji	Andrew Shouldice	N/a	"TUNIC is an action adventure about a tiny fox in a big world. Explore the wilderness, discover spooky ruins, and fight terrible creatures from long ago."	Steam	https://store.steampowered.com/app/553420/TUNIC/	https://www.jeuxactu.com/tunic-tout-ce-qu-il-faut-savoir-sur-le-jeu-114208.htm	https://gamergen.com/actualites/tunic-zelda-like-adorable-renard-montre-longue-video-gameplay-296563-1	action / aventure / Mignon / Isométrique / Mystère / Familial / Violence /Guerre	no	2019
1	Uncharted: The Lost Legacy	PS4	Sony Interactive Entertainment	Naughty Dog	F	Ce standalone met en scène deux héroines.	Gamekult	https://www.gamekult.com/jeux/uncharted-the-lost-legacy-3050817587/test.html	https://www.youtube.com/watch?v=_SITCd62XfQ	http://www.gameblog.fr/tests/2813-uncharted-the-lost-legacy-ps4	action / aventure / tps	no	22/08/2017 (US)
0 (nouveau support)	Undertale	PS4, Vita, PC	Toby Fox	Toby Fox	Gender-ambiguous	On incarne un enfant non-genré.	Jeuxvideo.com	http://www.jeuxvideo.com/test/450900/undertale-une-des-claques-de-la-sphere-independante.htm	https://www.youtube.com/watch?v=ajpO2ORY0AY	https://store.steampowered.com/app/391540/Undertale/?l=french	narratif / humour / rpg / horreur 	no	15/09/2015
1	Unruly Heroes	Xbox One	Magic Design Studios	Magic Design Studios	n/A	Personnages non-humains et peu genrés.	Unruly heroes	https://www.unrulyheroes.com/store	https://www.youtube.com/watch?v=JS_ru-X0PdQ	https://screenrant.com/unruly-heroes-review/	plateformes / Aventure / action / casse-tête 	yes	23/01/2019
1	Vampyr	PS4, Xbox One, PC	Focus Home Interactive	Dontnod Entertainment	M	"Vous êtes Jonathan Reid, l'un des plus grands chirurgiens de votre époque, de retour en Angleterre après des années à servir dans les tranchées françaises. "	Gamekult	https://www.gamekult.com/jeux/vampyr-3050394023/test.html	http://www.jeuxvideo.com/jeux/jeu-423727/#details	https://www.jeuxactu.com/vampyr-une-video-bien-sombre-qui-raconte-l-histoire-du-jeu-113360.htm	action / narratif / rpg / histoire	no	05/06/2018
1	Vindicta	PC	Game Cooks	Game Cooks	Gender-ambiguous	FPS, sans information sur le personnage en particulier.	Vindicta Games	https://www.vindictagame.com/	https://www.youtube.com/watch?v=GHODYnLfC68	https://www.youtube.com/watch?v=dBx9YVet8t0	fps / action	yes	20/06/2017
0 (no info)	Walking Dead VR	PS4, PC											
1	Wargroove	PC, PS4, Xbox One, Switch	Chucklefish	Chucklefish	Multi (choix)	Dans chaque faction, des commandants masculins et féminins sont disponibles.	Wargroove wiki	https://wargroovewiki.com/Commanders	http://royalnintendoswitch.over-blog.com/2018/06/wargroove-presente-ses-trois-derniers-commandants.html	https://store.steampowered.com/app/607050/Wargroove/	tactique / tour par tour / stratégie / stratégie / fantasy	yes	01/02/2019
0 (offsite)	Where the Water Tastes Like Wine *	PS4, Xbox One, PC											
0 (remake)	Wild Guns Reloaded	PC	Natsume Atari	Natsume			Jeuxvideo.com	http://www.jeuxvideo.com/jeux/switch/jeu-783743/				yes	13/12/2016 (Japon)
1	Wolfenstein II: The New Colossus	PS4, Xbox One, PC	Bethesda Softworks	MachineGames	M	Le joueur incarne un résistant.	Steam	https://store.steampowered.com/app/612880/Wolfenstein_II_The_New_Colossus/	https://www.jeuxactu.com/test-wolfenstein-2-the-new-colossus-achtung-ca-va-saigner-111397.htm	https://www.numerama.com/pop-culture/300793-test-de-wolfenstein-ii-the-new-colossus-oui-on-aime-toujours-tuer-des-nazis.html	Action / fps / violence / gore / tir / 1re personne / histoire / science-fiction / aventure / histoire / monde ouvert	no	27/10/2017
1	WRC 7	PC, PS4, Xbox One	Bigben Interactive	Kylotonn Games	Gender-ambiguous	Le joueur ne choisit pas le genre de son personnage/	Game Guide	https://game-guide.fr/221116-wrc-7-des-courses-de-rallye-exigeantes/	https://lemagjeuxhightech.com/actualites/test-de-wrc-7-panne-seche-de-nouveautes/15598/	https://www.wrcthegame.com/fr	course / sport / automobile / simulation	yes	15/09/2017
0 (offsite)	Wuppo *	PS4, Xbox One, PC											
0 (extension)	Xcom 2: War of the Chosen	PC, PS4, Xbox One											
1	Xenoblade Chronicle 2	Switch	Nintendo	Monolith Soft	M	Le joueur incarne Rex.	Nintendo	https://www.nintendo.fr/Jeux/Nintendo-Switch/Xenoblade-Chronicles-2-1233955.html	https://www.warlegend.net/test-xenoblade-chronicles-2-review/	http://www.jeuxvideo.com/jeux/switch/jeu-593690/#details	RPG	no	01/12/2017
1	Yakuza 6	PS4	Sega	Ryū ga Gotoku Studio	M	Le joueur incarne Kazuma Kiryu.	Jeuxvideo.com	http://www.jeuxvideo.com/jeux/ps4/jeu-442756/#details	http://lesplayersdudimanche.com/yakuza-6/yakuza-6-the-song-of-life-avis-test/	https://www.youtube.com/watch?v=MB0ZddBIpBM	action / aventure	yes	08/12/2016
1	YIIK: A Postmodern RPG	PS4, PS Vita, PC, Wii U	Ysbryd Games	Ackk Studios	M	Le joueur incarne Alex.	Light in gamer	https://lightningamer.com/test-yiik-a-postmodern-rpg-ps4/	https://www.millenium.org/news/322125.html	http://www.nintendo-difference.com/news47322-yiik--a-postmodern-rpg-disponible-le-17-janvier-prochain-sur-nintendo-switch-playstation-4-et-steam.htm	RPG / surréaliste / combat	no	17/01/2019
1	Ys VIII: Lacrimosa of Dana	PS4, Vita, PC	Nihon Falcom	Nihon Falcom	M	Incarnez à nouveau Adol, le personnage mythique de la saga, qui partagera la tête d'affiche avec Dana, une jeune femme qui lui apparaît en rêve. Lorsque Adol s'endort le joueur suit l'histoire de Dana.	Ys VIII	https://ysviii.com/fr/chara.html	http://www.jeuxvideo.com/jeux/ps4/jeu-453265/	https://www.youtube.com/watch?v=6EjGE3FUo5I	RPG / aventure / action /rpg / narratif / Hack 'n' slash	yes	21/07/2016
0 (offsite)	Yoku's Island Express*	PS4, Switch, Xbox One, PC											
1	Ylands	PC	Bohemia Interactive	Bohemia Interactive	Multi (choix + personnalisation)	Il est possible de sélectionner des personnages de chaque genre et de les personnaliser.	Jeuxvideo.com	http://www.jeuxvideo.com/news/762745/ylands-le-sandbox-de-bohemia-est-maintenant-disponible.htm	https://www.youtube.com/watch?v=0e4PBjVeMG8	https://ylands.gamepedia.com/The_Player	survie / monde ouvert / aventure / construction / 3e personne / action / exploration / 1ère personne	yes	06/12/2017
1	Yoshi Switch	Switch	Nintendo	Good-Feel	n/a	On incarne Yoshi, personne non-humain et peu genré.	Nintendo	https://www.nintendo.fr/Jeux/Nintendo-Switch/Yoshi-s-Crafted-World-1233953.html		https://www.youtube.com/watch?v=ShYN2_oszos	plates-formes	yes	29/03/2019
0	Zwei: The Ilvard Insurrection	PC											